CO_ESCOLA,NO_ESCOLA,NU_ANO,NU_NOTA
25117459,EEEFM PREFEITO WILLIAMS DE SOUSA ARRUDA,2007,3.2
25117459,EEEFM PREFEITO WILLIAMS DE SOUSA ARRUDA,2009,3.3
25117459,EEEFM PREFEITO WILLIAMS DE SOUSA ARRUDA,2011,2.2
25117459,EEEFM PREFEITO WILLIAMS DE SOUSA ARRUDA,2017,4.1
25117688,EEEF IRMA STEFANIE,2005,2.6
25117688,EEEF IRMA STEFANIE,2007,3.1
25117688,EEEF IRMA STEFANIE,2009,3.6
25117688,EEEF IRMA STEFANIE,2013,2.5
25117688,EEEF IRMA STEFANIE,2015,3.3
25117858,EEEF REITOR EDVALDO DO O,2005,2.5
25117858,EEEF REITOR EDVALDO DO O,2007,3.5
25117858,EEEF REITOR EDVALDO DO O,2009,2.3
25117858,EEEF REITOR EDVALDO DO O,2011,2.9
25117858,EEEF REITOR EDVALDO DO O,2013,2.7
25117858,EEEF REITOR EDVALDO DO O,2015,3.5
25117858,EEEF REITOR EDVALDO DO O,2017,2.9
25117866,EEEF POETISA VICENTINA FIGUEIREDO VITAL DO REGO,2005,2.5
25117866,EEEF POETISA VICENTINA FIGUEIREDO VITAL DO REGO,2007,2.7
25117866,EEEF POETISA VICENTINA FIGUEIREDO VITAL DO REGO,2009,1.8
25117866,EEEF POETISA VICENTINA FIGUEIREDO VITAL DO REGO,2011,2.6
25117866,EEEF POETISA VICENTINA FIGUEIREDO VITAL DO REGO,2013,1.7
25117866,EEEF POETISA VICENTINA FIGUEIREDO VITAL DO REGO,2015,4.4
25117866,EEEF POETISA VICENTINA FIGUEIREDO VITAL DO REGO,2017,4
25120646,EMEF MARIA DAS VITORIAS PIRES UCHOA QUEIROZ,2007,2.2
25120646,EMEF MARIA DAS VITORIAS PIRES UCHOA QUEIROZ,2009,2.4
25120646,EMEF MARIA DAS VITORIAS PIRES UCHOA QUEIROZ,2011,2.3
25120646,EMEF MARIA DAS VITORIAS PIRES UCHOA QUEIROZ,2013,3.1
25120646,EMEF MARIA DAS VITORIAS PIRES UCHOA QUEIROZ,2015,3.7
25120646,EMEF MARIA DAS VITORIAS PIRES UCHOA QUEIROZ,2017,3.1
25120670,EEEFM MAJOR VENEZIANO VITAL DO REGO,2005,2.1
25120670,EEEFM MAJOR VENEZIANO VITAL DO REGO,2007,2.9
25120670,EEEFM MAJOR VENEZIANO VITAL DO REGO,2009,1.9
25120670,EEEFM MAJOR VENEZIANO VITAL DO REGO,2011,3.1
25120670,EEEFM MAJOR VENEZIANO VITAL DO REGO,2013,2.4
25120670,EEEFM MAJOR VENEZIANO VITAL DO REGO,2015,2.9
25121685,EMEF ROBERTO SIMONSEN,2009,4.7
25121685,EMEF ROBERTO SIMONSEN,2011,4.5
25121685,EMEF ROBERTO SIMONSEN,2013,4.1
25121685,EMEF ROBERTO SIMONSEN,2015,4.5
25121685,EMEF ROBERTO SIMONSEN,2017,4.3
25123998,ESCOLA WALNYZA BORBOREMA CUNHA,2009,2
25123998,ESCOLA WALNYZA BORBOREMA CUNHA,2011,3.2
25123998,ESCOLA WALNYZA BORBOREMA CUNHA,2013,4.3
25123998,ESCOLA WALNYZA BORBOREMA CUNHA,2015,2.6
25123998,ESCOLA WALNYZA BORBOREMA CUNHA,2017,4.2
25151401,EEEFM ANTONIO GUEDES DE ANDRADE,2009,4.1
25151401,EEEFM ANTONIO GUEDES DE ANDRADE,2017,5.1
25152815,EEEFM ISABEL RODRIGUES DE MELO,2009,2.1
25152815,EEEFM ISABEL RODRIGUES DE MELO,2011,0.9
25152815,EEEFM ISABEL RODRIGUES DE MELO,2013,2.7
25152815,EEEFM ISABEL RODRIGUES DE MELO,2017,3.2
